String,CMC,pCMC,Temperature,Class
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],0.0019,-0.2787536009528289,25.0,Anionic
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,0.000146,0.8356471442155629,20.0,Nonionic
CCCCCCCCCCOCCOCCOCCOCCOCCO,0.00076,0.11918640771920865,25.0,Nonionic
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],0.0031,-0.4913616938342727,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],0.0031,-0.4913616938342727,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],0.0015,-0.17609125905568124,25.0,Zwitterionic
CCCCCC(CCCCC)(C(C(=O)[O-])S(=O)(=O)O)C(=O)[O-].[Na+].[Na+],0.053,-1.7242758696007892,25.0,Anionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCO,0.000125,0.9030899869919435,25.0,Nonionic
CCCCCCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],0.00028000000000000003,0.5528419686577808,25.0,Cationic
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.000508,0.29413628771608075,25.0,Cationic
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],0.0009,0.045757490560675115,25.0,Anionic
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],0.0124,-1.0934216851622351,25.0,Anionic
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.0021000000000000003,-0.3222192947339193,25.0,Anionic
CCCCCCCCCCCCC(=O)NCCOCCOCCOCCO,0.0005000345349769779,0.3010000000000005,25.0,Nonionic
CCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,8.7e-05,1.0604807473813815,25.0,Nonionic
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],0.0015,-0.17609125905568124,25.0,Anionic
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0003,0.5228787452803376,25.0,Zwitterionic
CCCCCCCCOCCOCCOCCOCCOCCOCCO,0.0099,-0.9956351945975499,25.0,Nonionic
C(CCC)(CCC)COCCOCCOCCOCCOCCOCCO,0.023,-1.3617278360175928,20.0,Nonionic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)[O-],0.00013000000000000002,0.8860566476931632,25.0,Zwitterionic
CCCCCCCCCCCCC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],0.00075,0.12493873660829993,25.0,Anionic
CCCCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.0063,-0.7993405494535817,25.0,Anionic
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.36e-05,1.6270879970298935,20.0,Nonionic
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,1.48e-05,1.8297382846050425,25.0,Nonionic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],0.0011,-0.04139268515822507,25.0,Cationic
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],0.00185,-0.2671717284030138,25.0,Cationic
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,6.4e-05,1.193820026016113,25.0,Nonionic
C(CCCNC(=O)OCCOCCC)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.009794899854086984,-0.9909999999999999,25.0,Nonionic
CCCCCCC(CCCCCC)(C(C(=O)[O-])S(=O)(=O)O)C(=O)[O-].[Na+].[Na+],0.0124,-1.0934216851622351,25.0,Anionic
CCCCCCCOC(=O)CC(C(=O)OCCCCCCC)S(=O)(=O)[O-].[Na+],0.0035499999999999998,-0.5502283530550941,25.0,Anionic
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.00019,0.721246399047171,25.0,Anionic
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],0.0334,-1.5237464668115646,25.0,Anionic
CC(C(C(C(C(C(CCCOOOC)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.00029991625189876493,0.5230000000000002,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.001,-0.0,25.0,Anionic
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],0.0021000000000000003,-0.3222192947339193,25.0,Cationic
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,4.9000000000000005e-05,1.3098039199714864,25.0,Nonionic
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.0009,0.045757490560675115,25.0,Nonionic
C(CCCC)(CCCC)COCCOCCOCCOCCOCCOCCO,0.0031,-0.4913616938342727,20.0,Nonionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCO,0.00017199999999999998,0.7644715530924511,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[Cl-],0.00017999999999999998,0.744727494896694,25.0,Cationic
CCCCCCCCCCCCCCCCCC(=O)N(CCOCCO)CC(=O)[O-].[Na+],0.000363,0.4400933749638875,25.0,Anionic
C(C(=O)OCCCCCCC)C(C(=O)OCCCCCCC)CS(=O)(=O)[O-].[Na+],0.0004,0.3979400086720376,20.0,Anionic
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[NH4+],0.0245,-1.3891660843645326,24.0,Anionic
CCCCCCCCCCCCCCCCC(=O)OC1C(C(C(C(O1)CO)O)O)O,0.0001399587322572616,0.8540000000000006,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0012,-0.07918124604762482,25.0,Anionic
CCCCCCCCCCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.0023,-0.36172783601759284,25.0,Anionic
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,7.74e-06,2.1112590393171073,20.0,Nonionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1e-05,2.0,25.0,Nonionic
CCCCCCCCCCCCCCCCCC(=O)N(CCCOC)CC(=O)[O-].[Na+],0.000178,0.7495799976911061,25.0,Anionic
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],0.03,-1.4771212547196624,25.0,Anionic
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],0.03,-1.4771212547196624,25.0,Anionic
CCCCCCCCC(CC)OS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,0.0022,-0.3424226808222063,25.0,Anionic
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCO,0.0004698,0.328086987558413,25.0,Nonionic
CCCCCCCCC(Cl)C(Cl)CCCCCCCCOS(=O)(=O)[O-].[Na+],0.00031,0.5086383061657274,25.0,Anionic
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.083,-1.919078092376074,25.0,Nonionic
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],0.00091,0.040958607678906384,25.0,Anionic
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],0.0025,-0.3979400086720376,25.0,Anionic
C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.03,-1.4771212547196624,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,8.7e-05,1.0604807473813815,20.0,Nonionic
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[K+],0.0287,-1.4578818967339924,25.0,Anionic
CCCCCCCCCCCCCCCCCCC(=O)OC1C(C(C(C(O1)CO)O)O)O,0.0001999861869632742,0.6990000000000005,25.0,Nonionic
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],8e-05,1.0969100130080565,25.0,Anionic
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.8500000000000002e-06,2.54515513999149,20.0,Nonionic
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.0012,-0.07918124604762482,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.000176,0.7544873321858502,25.0,Cationic
CCCCCCCCCCCCOCCOCC[N+]1=CC=CC=C1.[I-],0.0022,-0.3424226808222063,25.0,Cationic
CCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0002,0.6989700043360187,25.0,Anionic
CCCCCCCCC(CCCCCCCC)(C(C(=O)[O-])S(=O)(=O)O)C(=O)[O-].[Na+].[Na+],0.00068,0.16749108729376366,25.0,Anionic
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,0.0009660508789898128,0.015000000000000263,25.0,Nonionic
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.0057,-0.7558748556724915,25.0,Nonionic
[Li+].C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],0.00487,-0.6875289612146344,25.0,Anionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCO,0.00025,0.6020599913279624,25.0,Nonionic
CCCCC(CCC)COC(=O)CC(C(=O)OCC(CCC)CCCC)S(=O)(=O)[O-].[Na+],0.00318,-0.5024271199844327,25.0,Anionic
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],7.000000000000001e-05,1.154901959985743,25.0,Anionic
CCCCCCCCCC(=O)[O]CCOCCOCCOCCOCCOCCOC,0.00015,0.8239087409443188,27.0,Nonionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1e-05,2.0,25.0,Nonionic
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.013,-1.1139433523068367,25.0,Nonionic
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0.0053,-0.724275869600789,25.0,Nonionic
CCCCCCCCCCCCOC1C(CC(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O,0.0002398832919019488,0.6200000000000004,25.0,Nonionic
CCCCCCCCCC=CC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,3.9627803425543866e-05,1.4020000000000008,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,8e-05,1.0969100130080565,23.0,Nonionic
CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.003019951720402013,-0.47999999999999954,25.0,Nonionic
CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.0013,-0.11394335230683678,25.0,Nonionic
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],5e-05,1.3010299956639813,25.0,Anionic
[Li+].C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.0063,-0.7993405494535817,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,9.900000000000001e-05,1.00436480540245,20.0,Nonionic
C(CCCNC(=O)OCCOCCC)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0001499684835502373,0.8240000000000001,25.0,Nonionic
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,0.00015,0.8239087409443188,20.0,Nonionic
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.001,-0.0,25.0,Nonionic
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.00332,-0.5211380837040362,25.0,Nonionic
CCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O,0.00231,-0.36361197989214433,20.0,Nonionic
C(CSCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0025,-0.3979400086720376,25.0,Nonionic
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.00047999999999999996,0.3187587626244128,25.0,Nonionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCO,0.000246,0.6090648928966209,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],8e-05,1.0969100130080565,25.0,Anionic
CCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O,0.00033,0.4814860601221125,25.0,Nonionic
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0003,0.5228787452803376,25.0,Nonionic
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.013,-1.1139433523068367,25.0,Nonionic
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.00031,0.5086383061657274,25.0,Nonionic
CCCCCCCCCCCCCCOC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,1.4999999999999999e-05,1.8239087409443189,20.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0001,1.0,25.0,Nonionic
CCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O,0.000249,0.6038006529042637,20.0,Nonionic
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.000447,0.3496924768680635,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.74e-06,2.7594507517174,25.0,Nonionic
C(CCN(CCO)CCO)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.00016,0.7958800173440752,20.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.0016,-0.20411998265592482,25.0,Anionic
CCCCCCCCCCCCCC(=O)OCC1(C(C(C(O1)CO)O)O)OC2C(C(C(C(O2)CO)O)O)O,2.58e-05,1.58838029403677,20.0,Nonionic
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.9999999999999997e-05,1.5228787452803376,25.0,Nonionic
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0013,-0.11394335230683678,25.0,Nonionic
C(CCCC)(CCCC)COCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0032,-0.505149978319906,20.0,Nonionic
C(CSCCOCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0028,-0.4471580313422192,25.0,Nonionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCO,0.00028000000000000003,0.5528419686577808,25.0,Nonionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,8.999999999999999e-06,2.0457574905606752,25.0,Nonionic
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,6.759999999999999e-05,1.170053304058364,25.0,Nonionic
CCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O,3.6400000000000004e-05,1.438898616350944,20.0,Nonionic
CCCCCCCCCCCCCCCC=CC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,3.280952931131188e-05,1.4840000000000002,25.0,Nonionic
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.5e-06,2.4559319556497243,25.0,Nonionic
CCCCCCCCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,2.2387211385683362e-05,1.6500000000000006,25.0,Nonionic
CCCCCCCCCC(=O)[O]CCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.001,-0.0,27.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0001,1.0,23.0,Nonionic
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,2e-05,1.6989700043360187,25.0,Nonionic
CCCCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O,9.299999999999999e-06,2.0315170514460648,20.0,Nonionic
CCCCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.7500000000000002e-05,1.7569619513137056,25.0,Nonionic
CCCCC(C)C(C)C(C)CCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.000296,0.5287082889410615,25.0,Anionic
CCC(C)C(C)C(C)C(C)CCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.00013900000000000002,0.8569851997459049,25.0,Anionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.000304,0.5171264163912462,25.0,Nonionic
C(CCCNC(=O)OCCOCCC)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.398832919019486e-05,1.6200000000000008,25.0,Nonionic
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],3.3e-05,1.4814860601221125,25.0,Anionic
CCCCCCCCCCC(C)COCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],7.5e-05,1.1249387366083,25.0,Anionic
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,8.994975815300331e-06,2.046000000000001,25.0,Nonionic
CCCCCCCCC=CCCCCCCCC(=O)OC1(C(C(C(C(O1)CO)O)O)O)OC2(C(C(C(O2)CO)O)O)CO,5.1e-06,2.2924298239020637,25.0,Nonionic
CCCCCCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,5.62e-06,2.250263684430939,25.0,Nonionic
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(C(C(C(CO)O)OC1C(C(C(C(O1)CO)O)O)O)O)O,3.3e-06,2.4814860601221125,20.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,8.999999999999999e-05,1.0457574905606752,25.0,Nonionic
CCCCCCCCCC=CC(=O)OCC(COCC(COCC(COCC(COCC(COCC(CO)O)O)O)O)O)O,3.5809643710263575e-05,1.4460000000000004,25.0,Nonionic
C(CSCCOCCOCCOCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0037,-0.568201724066995,25.0,Nonionic
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,0.005,-0.6989700043360189,25.0,Nonionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.000323,0.4907974776688971,25.0,Nonionic
C(C(C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)S(=O)(=O)[O-])C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F.[Na+],0.016,-1.2041199826559248,25.0,Anionic
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,8.999999999999999e-05,1.0457574905606752,25.0,Nonionic
COCCOCCOCCN(CCOCCOCCOC)C(=O)CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0005495408738576247,0.25999999999999995,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2e-06,2.6989700043360187,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.00014000000000000001,0.8538719643217619,23.0,Nonionic
CCCCCCCCCCCCCCCC=CC(=O)OCC(COCC(COCC(COCC(COCC(COCC(CO)O)O)O)O)O)O,2.741574171927877e-05,1.562000000000001,25.0,Nonionic
CCCCCCCCCCCCCCCCCC(=O)OCC(COCC(COCC(COCC(COCC(COCC(CO)O)O)O)O)O)O,2.798981319634359e-05,1.5530000000000006,25.0,Nonionic
C(CSCCOCCOCCOCCOCCOCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0048,-0.6812412373755872,25.0,Nonionic
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0005,0.3010299956639812,25.0,Nonionic
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,4.2000000000000004e-05,1.3767507096020994,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0002,0.6989700043360187,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.34e-06,2.630784142589857,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.5e-05,1.2596373105057561,25.0,Nonionic
CCCCCCCCCC(=O)[O]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.0018,-0.25527250510330607,27.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.1e-06,2.5086383061657274,25.0,Nonionic
CCCCCCCCCC=CC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,2.824879974915702e-05,1.5490000000000008,25.0,Nonionic
CCCCCCCCCCCCCCCC=CC(=O)OCC(COCC(COCC(COCC(COCC(COCC(COCC(COCC(COCC(COCC(CO)O)O)O)O)O)O)O)O)O)O,2.108628149933285e-05,1.6760000000000008,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3e-06,2.5228787452803374,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.89e-06,2.4100503986742923,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.9999999999999995e-05,1.2218487496163564,25.0,Nonionic
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0001,1.0,25.0,Nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0001099,0.9590023075765094,25.0,Nonionic
CCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,7.6e-05,1.1191864077192086,25.0,Nonionic
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],2.5e-05,1.6020599913279623,25.0,Anionic
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],8.599999999999999e-05,1.0655015487564323,25.0,Anionic
CCC(C)C(C)CCC(CC(C)C(C)C)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],0.000185,0.7328282715969863,25.0,Anionic
C(CCOCCOCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCO)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.00061,0.21467016498923297,20.0,Nonionic
CCCCCCCCCCCCCCC(S(=O)(=O)[O-].[Na+])C(=O)OCCS(=O)(=O)[O-].[Na+],0.008,-0.9030899869919435,25.0,Anionic
CCCCCCCCCCCCCCCCC(S(=O)(=O)[O-].[Na+])C(=O)OCCS(=O)(=O)[O-].[Na+],0.0025,-0.3979400086720376,25.0,Anionic
COCCOCCOCCN(CCOCCOCCOC)C(=O)CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.199499303149377e-05,1.9210000000000007,25.0,Nonionic
COCCN(CCOC)C(=O)CC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.9991625189876496e-07,3.523,25.0,Nonionic
C(CCCNC(=O)OCCOCCOCCC)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.001399587322572618,-0.146,25.0,Nonionic
C(CCCNC(=O)OCCOCCOCCC)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F),8.99497581530034e-05,1.0460000000000005,25.0,Nonionic
C(CCCNC(=O)OCCOCCOCCC)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.099005839432521e-05,1.959,25.0,Nonionic
C(CSCCOCCSCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0023,-0.36172783601759284,25.0,Nonionic
C(CSCCOCCOCCSCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0026,-0.414973347970818,25.0,Nonionic
C(CSCCOCCOCCOCCSCCOCCOCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0034,-0.5314789170422551,25.0,Nonionic
CCCCCCOS(=O)(=O)[O-].[Na+],0.43251383103500873,0.364,40.0,Anionic
CCCCCCCOS(=O)(=O)[O-].[Na+],0.22646443075930595,0.645,40.0,Anionic
CCCCCCCCCOS(=O)(=O)[O-].[Na+],0.06180164001384158,1.209,40.0,Anionic
O=C(CCCCCCCC)[O-].[K+],0.4645152752227494,0.333,40.0,Anionic
O=C(CCCCCCCCCC)[O-].[K+],0.1158777356155126,0.936,40.0,Anionic
