String,CMC,pCMC,Temperature,Class
[Li+].CCCCCCCCCCCCS(=O)(=O)[O-],0.011,-1.041392685158225,25.0,Anionic
CCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.0066,-0.8195439355418687,23.0,Zwitterionic
CCCCCCCCCCC(C(=O)[O-])[N+](C)(C)C,0.013099999999999999,-1.1172712956557642,27.0,Zwitterionic
CCCCCCCCCCCCCC[N+](C)(C)[O-],0.00027,0.5686362358410126,27.0,Zwitterionic
CCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.019,-1.2787536009528289,20.0,Anionic
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.031,-1.4913616938342726,25.0,Anionic
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.00456,-0.6589648426644349,25.0,Anionic
CCCCCCCCSC1OC(=O)C(O)C1O,0.00047999999999999996,0.3187587626244128,20.0,Nonionic
CCCCCCCCOCCOCCOCCO,0.0075,-0.8750612633917001,25.0,Nonionic
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.02,-1.3010299956639813,25.0,Cationic
CCCCCCC(=O)OCC(O)C(O)C(O)CO,0.01,-1.0,25.0,Nonionic
CCCCCCCCOCC(O)C(O)C(O)CO,0.0067,-0.8260748027008264,25.0,Nonionic
CCCCCCCCC(C(=O)[O-])[N+](C)(C)C.Cl,0.0050999999999999995,-0.7075701760979364,27.0,Zwitterionic
CCCCCCCCCCCC[NH2+]CCO.[Cl-],0.0455,-1.6580113966571124,25.0,Cationic
CCCCCCCCCCCCCC(=O)[O-].[K+],0.0066,-0.8195439355418687,25.0,Anionic
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],0.0089,-0.9493900066449128,25.0,Anionic
CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.002,-0.3010299956639812,23.0,Zwitterionic
CCCCCCCC[N+]1=CC=CC=C1.[Br-],0.23,-2.361727836017593,20.0,Cationic
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],0.0124,-1.0934216851622351,25.0,Anionic
[Li+].CCCCCCCCCCCCOS(=O)(=O)[O-],0.0079,-0.8976270912904414,25.0,Anionic
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],0.066,-1.8195439355418688,25.0,Anionic
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.014199999999999999,-1.1522883443830565,21.0,Anionic
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],0.038799999999999994,-1.5888317255942073,25.0,Anionic
CCCCCCCCCCCCOCCOCCO,3.3e-05,1.4814860601221125,25.0,Nonionic
CCCCCCCCCCC(C(=O)[O-])[N+]1=CC=CC=C1,0.0052,-0.7160033436347992,25.0,Zwitterionic
CCCCCCCCCCCCCCCC[NH3+].[Cl-],0.00141,-0.14921911265537988,25.0,Cationic
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.018,-1.255272505103306,25.0,Nonionic
CCCCCCOCCOCCOCCOCCO,0.09290000000000001,-1.9680157139936418,25.0,Nonionic
CCCCCCCCCOCC(O)C(O)C(O)CO,0.0021000000000000003,-0.3222192947339193,25.0,Nonionic
CCCCCCCCCCCCCCCC(=O)[O-].[Na+],0.002,-0.3010299956639812,25.0,Anionic
CCCCCCCCCCCCCCS(=O)(=O)O,0.0021000000000000003,-0.3222192947339193,25.0,Nonionic
CCCCCCCCCCOCC[N+](C)(C)C.[Cl-],0.030600000000000002,-1.4857214264815801,25.0,Cationic
CCCCCCCCCC[N+](C)(C)C.[Br-],0.068,-1.8325089127062364,25.0,Cationic
CCCCCCCCSCC(O)C(O)C(O)CO,0.00121,-0.08278537031645007,20.0,Nonionic
CCCCCCCCCCCC(=O)NC1CCOC1=O,4e-06,2.3979400086720375,25.0,Nonionic
CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],0.0061600000000000005,-0.7895807121644255,25.0,Anionic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.0162,-1.209515014542631,25.0,Cationic
CCCCCCCCCCCCC(C(=O)[O-])[N+](C)(C)C,0.00132,-0.1205739312058499,27.0,Zwitterionic
CCCCCCCCCCC=COS(=O)(=O)[O-].[Na+],0.016,-1.2041199826559248,25.0,Anionic
CCCCCCCCCCCC(=O)N(CCO)CCO,0.00026000000000000003,0.585026652029182,25.0,Nonionic
CCCCCCCCCCCC(=O)N(C)CC(O)CO,0.00023400000000000002,0.6307841425898572,25.0,Nonionic
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],0.009,-0.9542425094393249,25.0,Anionic
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.008150000000000001,-0.9111576087399766,25.0,Anionic
CCCCC(C)C(C)C(C)CCOS(=O)(=O)[O-].[Na+],0.014199999999999999,-1.1522883443830565,25.0,Anionic
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],0.0159,-1.2013971243204515,25.0,Anionic
CCCCCCCCCCSC1OC(=O)C(O)C1O,3.3e-05,1.4814860601221125,20.0,Nonionic
CCCCCCCCCCOCCOCCOCCO,0.0006,0.22184874961635637,25.0,Nonionic
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,0.023,-1.3617278360175928,25.0,Nonionic
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.025,-1.3979400086720377,25.0,Nonionic
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.0044,-0.6434526764861874,25.0,Nonionic
CCCCCCCOCCOCCOCCOCCO,0.04,-1.6020599913279625,25.0,Nonionic
CCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.3,-2.4771212547196626,20.0,Anionic
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],0.015,-1.1760912590556813,20.0,Anionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCO,7.65e-05,1.1163385648463824,25.0,Nonionic
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,9.7e-05,1.013228265733755,25.0,Nonionic
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],0.00022,0.6575773191777937,25.0,Zwitterionic
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],0.0046,-0.6627578316815741,25.0,Zwitterionic
CCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],0.0256,-1.4082399653118496,25.0,Cationic
CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.063,-1.7993405494535817,25.0,Cationic
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],0.022,-1.3424226808222062,25.0,Anionic
CCCCCCCC/C=C\CCCCCCCC(=O)O.[Na+],0.0021000000000000003,-0.3222192947339193,25.0,Anionic
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,0.045,-1.6532125137753437,25.0,Nonionic
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,0.07,-1.845098040014257,25.0,Nonionic
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,0.007,-0.8450980400142568,25.0,Nonionic
